product_id,product_name,category,stock_quantity,weekly_sales,supplier_delay_days,min_stock_level,price,last_sale_days,seasonality,risk_level
1,Pen Pack,Office Supplies,58,35,8,54,245,6,0,Medium
2,HDD,Printer Supplies,30,33,7,23,576,6,0,Medium
3,Mouse,Computer Accessories,16,16,7,12,1624,7,1,Medium
4,Laptop Charger,Printer Supplies,489,0,1,73,2119,6,0,Low
5,Toner,Printer Supplies,0,59,13,20,588,2,1,High
6,Router,Computer Accessories,78,38,5,76,2500,9,0,Medium
7,Mouse,Mobile Accessories,82,35,6,68,2363,12,0,Medium
8,Barcode Scanner,Printer Supplies,7,42,15,33,91,1,1,High
9,Barcode Scanner,Storage Devices,290,2,2,40,1841,10,1,Low
10,Toner,Storage Devices,10,48,10,44,1268,8,0,High
11,Monitor Stand,Electronics,31,58,12,73,1077,4,0,High
12,Ink Cartridge,Printer Supplies,208,2,1,47,1579,21,0,Low
13,Laptop Charger,Office Supplies,113,4,1,10,426,16,1,Low
14,Keyboard,Computer Accessories,45,5,5,55,318,106,1,Medium
15,Mouse,Office Supplies,13,58,12,55,308,1,1,High
16,Safety Gloves,Storage Devices,565,4,2,69,786,8,0,Low
17,Keyboard,Mobile Accessories,9,4,2,16,2163,93,0,Medium
18,USB Flash,Electronics,253,4,1,27,1118,24,0,Low
19,Toner,Printer Supplies,4,58,13,44,1133,3,1,High
20,Keyboard,Safety,4,46,15,10,1621,3,0,High
21,Toner,Office Supplies,433,1,1,49,1393,7,1,Low
22,Printer Cable,Safety,745,1,4,66,118,3,0,Low
23,HDD,Office Supplies,344,3,1,43,232,15,0,Low
24,Ink Cartridge,Printer Supplies,9,17,12,30,433,5,1,High
25,Mouse,Mobile Accessories,76,35,6,61,2350,9,0,Medium
26,Barcode Scanner,Safety,7,38,15,66,880,6,0,High
27,Ink Cartridge,Office Supplies,1,55,10,57,1267,6,1,High
28,Barcode Scanner,Safety,11,19,5,11,1682,23,1,Medium
29,HDD,Computer Accessories,291,7,1,35,385,15,1,Low
30,Keyboard,Safety,9,4,5,10,674,88,1,Medium
31,Router,Mobile Accessories,11,20,7,10,1137,8,0,Medium
32,HDD,Printer Supplies,76,38,8,55,1997,0,0,Medium
33,Safety Gloves,Safety,149,2,3,17,734,4,0,Low
34,HDD,Mobile Accessories,0,46,13,30,1265,4,1,High
35,Keyboard,Office Supplies,468,0,2,39,2500,3,0,Low
36,Barcode Scanner,Safety,273,0,3,45,1357,30,0,Low
37,Ink Cartridge,Printer Supplies,12,37,11,32,1199,12,1,High
38,Pen Pack,Storage Devices,380,4,1,48,239,9,0,Low
39,Printer Cable,Electronics,347,1,1,34,236,32,1,Low
40,Keyboard,Safety,33,38,6,30,1495,9,0,Medium
41,Keyboard,Office Supplies,389,1,2,44,2438,3,0,Low
42,USB Flash,Mobile Accessories,513,1,1,48,1258,18,0,Low
43,HDD,Mobile Accessories,280,3,2,61,454,23,0,Low
44,Barcode Scanner,Computer Accessories,549,1,1,59,870,28,0,Low
45,Printer Cable,Safety,50,38,5,35,720,6,1,Medium
46,Pen Pack,Printer Supplies,22,4,5,34,2343,69,0,Medium
47,HDD,Safety,1,65,11,13,1644,0,1,High
48,Safety Gloves,Computer Accessories,500,5,3,47,1449,18,0,Low
49,Safety Gloves,Printer Supplies,10,32,15,54,541,8,0,High
50,Safety Gloves,Mobile Accessories,27,9,5,25,750,13,1,Medium
51,USB Flash,Storage Devices,29,4,2,56,1026,73,0,Medium
52,Safety Gloves,Computer Accessories,21,40,11,66,1946,0,0,High
53,Printer Cable,Safety,685,1,1,66,166,0,0,Low
54,Toner,Electronics,0,66,13,10,2016,1,0,High
55,Receipt Printer,Office Supplies,525,2,1,59,1345,28,0,Low
56,Receipt Printer,Mobile Accessories,6,43,12,57,858,2,1,High
57,USB Flash,Printer Supplies,16,15,8,21,1530,43,0,Medium
58,Safety Gloves,Safety,177,5,2,22,907,2,0,Low
59,Ink Cartridge,Electronics,19,69,15,31,2192,0,1,High
60,Receipt Printer,Electronics,14,4,4,30,2180,88,0,Medium
61,HDD,Mobile Accessories,528,0,1,64,618,22,0,Low
62,Barcode Scanner,Mobile Accessories,665,2,2,80,2404,25,0,Low
63,Toner,Printer Supplies,416,5,1,43,310,23,0,Low
64,Toner,Printer Supplies,431,8,1,41,401,21,0,Low
65,Switch,Computer Accessories,519,0,1,50,2007,7,0,Low
66,Keyboard,Safety,34,35,6,30,1388,5,0,Medium
67,Monitor Stand,Storage Devices,24,4,3,41,1899,113,0,Medium
68,Mouse,Safety,12,15,7,22,1262,17,0,Medium
69,Monitor Stand,Storage Devices,15,7,6,16,1144,9,0,Medium
70,Pen Pack,Storage Devices,171,1,2,16,159,8,0,Low
71,Switch,Safety,55,38,5,53,571,11,0,Medium
72,USB Flash,Mobile Accessories,6,67,15,48,1619,0,1,High
73,USB Flash,Computer Accessories,2,62,15,30,1096,7,1,High
74,Laptop Charger,Electronics,86,14,6,70,1753,5,1,Medium
75,Barcode Scanner,Safety,388,7,4,68,2290,12,0,Low
76,Laptop Charger,Printer Supplies,527,6,1,69,1918,6,1,Low
77,USB Flash,Storage Devices,17,42,12,41,2346,3,0,High
78,Safety Gloves,Printer Supplies,9,53,7,69,1782,10,1,High
79,Pen Pack,Electronics,0,71,15,23,121,6,0,High
80,Notebook,Office Supplies,21,21,10,67,2309,6,1,High
